%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1649348874789009607,200173,1649348874756257689,world,0.593303978443,-1.23988747597,0.333377629519,-0.0288089867681,0.0225454717875,-0.1566516608,0.986976206303
1649348874793056913,200174,1649348874761873440,world,0.589675843716,-1.23801779747,0.336083978415,-0.00327762891538,-0.0505005046725,-0.138454154134,0.989075124264
1649348874798657030,200175,1649348874767898702,world,0.589437663555,-1.23814308643,0.336372345686,0.00984949525446,-0.0453958772123,-0.145269006491,0.988301157951
1649348874804370446,200176,1649348874773727089,world,0.589671611786,-1.23665463924,0.336852759123,0.00296148448251,-0.0231085717678,-0.156987011433,0.987325847149
1649348874811510581,200177,1649348874780105468,world,0.58836966753,-1.23663890362,0.337038516998,0.00338019011542,-0.0279971882701,-0.153011456132,0.987822055817
1649348874816004264,200178,1649348874785453936,world,0.587669610977,-1.23604345322,0.337320923805,-0.00142493075691,-0.0267603546381,-0.156765401363,0.987272262573
1649348874822120985,200179,1649348874791368895,world,0.586091399193,-1.23564827442,0.337335467339,-0.000103097016108,-0.0288587287068,-0.155459880829,0.987420618534
1649348874830604857,200180,1649348874796912818,world,0.58658349514,-1.23563838005,0.337438225746,-0.0133101288229,-0.0308250263333,-0.164892300963,0.985739946365
1649348874835948391,200181,1649348874803705997,world,0.583912432194,-1.23451638222,0.335994809866,-0.00871255807579,-0.0279887635261,-0.154416158795,0.987571001053
1649348874840743202,200182,1649348874809069879,world,0.582856953144,-1.23490452766,0.335399150848,-0.0232511460781,-0.0371149890125,-0.166084602475,0.985138475895
1649348874846844423,200183,1649348874816083634,world,0.581816315651,-1.23374187946,0.336672455072,0.0321194715798,-0.0530498363078,-0.166508063674,0.984088003635
1649348874853010357,200184,1649348874822799860,world,0.581816315651,-1.23374187946,0.336672455072,0.0321194715798,-0.0530498363078,-0.166508063674,0.984088003635
1649348874857797908,200185,1649348874827141134,world,0.579466283321,-1.23180496693,0.336352825165,-0.000455768371467,-0.0390752144158,-0.164099156857,0.98566955328
1649348874868316260,200186,1649348874833850989,world,0.579466283321,-1.23180496693,0.336352825165,-0.000455768371467,-0.0390752144158,-0.164099156857,0.98566955328
1649348874872343656,200187,1649348874840875238,world,0.579466283321,-1.23180496693,0.336352825165,-0.000455768371467,-0.0390752144158,-0.164099156857,0.98566955328
1649348874880850515,200188,1649348874845067764,world,0.579466283321,-1.23180496693,0.336352825165,-0.000455768371467,-0.0390752144158,-0.164099156857,0.98566955328
1649348874885478046,200189,1649348874853177736,world,0.573672175407,-1.22925662994,0.336648672819,0.0454660542309,-0.0523607507348,-0.157162562013,0.98513507843
1649348874889030282,200190,1649348874857951997,world,0.572602748871,-1.22947406769,0.336974054575,-0.00547183118761,-0.0461287200451,-0.151563718915,0.987355411053
1649348874894239126,200191,1649348874863184947,world,0.572602748871,-1.22947406769,0.336974054575,-0.00547183118761,-0.0461287200451,-0.151563718915,0.987355411053
1649348874899099098,200192,1649348874868429027,world,0.570360004902,-1.2277456522,0.337648391724,-0.0104672750458,-0.0410665161908,-0.148269474506,0.988038539886
1649348874905432929,200193,1649348874874279180,world,0.570124924183,-1.22741615772,0.337502688169,-0.00406273268163,-0.0325278379023,-0.156823977828,0.987082481384
1649348874912724808,200194,1649348874880176845,world,0.567435979843,-1.22697281837,0.337259054184,-0.0106929577887,0.00246644765139,-0.146273031831,0.989183485508
1649348874917648832,200195,1649348874887031951,world,0.567435979843,-1.22697293758,0.337259054184,-0.0106929577887,0.00246644765139,-0.146273031831,0.989183485508
1649348874923080931,200196,1649348874892368676,world,0.566026806831,-1.22691643238,0.337715417147,-0.00709074502811,-0.0190338362008,-0.149520277977,0.988550007343
1649348874928996698,200197,1649348874898016976,world,0.564625382423,-1.2262853384,0.338268011808,-0.000741884694435,-0.0211661029607,-0.147290602326,0.988866508007
1649348874937275313,200198,1649348874906234815,world,0.564625442028,-1.2262853384,0.338268011808,-0.000741884694435,-0.0211661029607,-0.147290602326,0.988866508007
1649348874943384141,200199,1649348874911640743,world,0.564625442028,-1.2262853384,0.338268011808,-0.000741884694435,-0.0211661029607,-0.147290602326,0.988866508007
1649348874948580104,200200,1649348874918000946,world,0.564625442028,-1.2262853384,0.338268011808,-0.000741884694435,-0.0211661029607,-0.147290602326,0.988866508007
1649348874954091162,200201,1649348874922511416,world,0.564625442028,-1.2262853384,0.338268011808,-0.000741884694435,-0.0211661029607,-0.147290602326,0.988866508007
1649348874958254914,200202,1649348874927686307,world,0.56000828743,-1.22172033787,0.33777910471,-0.00887667946517,-0.0306234750897,-0.157441318035,0.987013578415
1649348874964429180,200203,1649348874933799696,world,0.55852907896,-1.2221211195,0.337993174791,0.0100859282538,-0.0328350923955,-0.169806212187,0.984878718853
1649348874972406193,200204,1649348874940497683,world,0.555986225605,-1.21947836876,0.338389575481,0.0124939326197,-0.057782292366,-0.147947117686,0.987226843834
1649348874979710790,200205,1649348874946739786,world,0.555111765862,-1.22004580498,0.337891101837,-0.00378217804246,-0.0257496796548,-0.153016164899,0.987880945206
1649348874987444067,200206,1649348874954078879,world,0.555820584297,-1.21954977512,0.337714493275,0.00934134051204,-0.0329920090735,-0.167722955346,0.985237717628
1649348874992446389,200207,1649348874957554895,world,0.554239094257,-1.21795916557,0.338542938232,-0.0102638835087,-0.0730117931962,-0.152099564672,0.985611319542
1649348874997269024,200208,1649348874966322942,world,0.554239094257,-1.21795916557,0.338542938232,-0.0102638835087,-0.0730117931962,-0.152099564672,0.985611319542
1649348875000704240,200209,1649348874969702052,world,0.552140474319,-1.21835696697,0.338738948107,-0.0041836774908,-0.0198629386723,-0.144318088889,0.989323139191
1649348875006629976,200210,1649348874975860622,world,0.55399107933,-1.21654188633,0.338433742523,-0.000731839623768,-0.0434772223234,-0.159147560596,0.986296772957
1649348875012258336,200211,1649348874981550236,world,0.550907552242,-1.21472525597,0.33616951108,0.0603743642569,-0.0566371530294,-0.154191717505,0.984567046165
1649348875017812866,200212,1649348874987061229,world,0.550339579582,-1.21431016922,0.338281869888,-0.00426239101216,-0.02990392223,-0.149065718055,0.988365828991
1649348875024888971,200213,1649348874994034286,world,0.547539591789,-1.21529912949,0.339525640011,0.00525116082281,-0.0115102641284,-0.147906213999,0.988920509815
1649348875029196842,200214,1649348874998246497,world,0.546595871449,-1.21457624435,0.339271247387,-0.00302325910889,-0.0147295286879,-0.147797107697,0.988903403282
1649348875037119940,200215,1649348875006008846,world,0.546065807343,-1.21294724941,0.336597383022,-0.0286499280483,-0.00371313886717,-0.161980092525,0.986371099949
1649348875041684613,200216,1649348875011104601,world,0.546065807343,-1.21294724941,0.336597383022,-0.0286499280483,-0.00371313886717,-0.161980092525,0.986371099949
1649348875050256355,200217,1649348875017296022,world,0.542617201805,-1.21247160435,0.33911716938,0.00723530352116,-0.0266216993332,-0.152794748545,0.987872838974
1649348875056002963,200218,1649348875023381699,world,0.542047679424,-1.21196889877,0.339573860168,0.00928805954754,-0.0512029528618,-0.13818603754,0.989038288593
1649348875061770691,200219,1649348875028977498,world,0.541280686855,-1.21009612083,0.340025156736,0.00806509051472,-0.0601209364831,-0.153032958508,0.986357688904
1649348875067529179,200220,1649348875033730366,world,0.540836751461,-1.20922505856,0.338592618704,-0.00479618273675,-0.0452892370522,-0.151059433818,0.987475097179
1649348875071334241,200221,1649348875040920154,world,0.540033400059,-1.20939826965,0.338401019573,-0.00529615394771,-0.0267175063491,-0.151094511151,0.988144040108
1649348875078179236,200222,1649348875046171570,world,0.538969397545,-1.2086687088,0.338332206011,-0.00695986486971,-0.0303311627358,-0.148356944323,0.988444209099
1649348875083946616,200223,1649348875053255674,world,0.538105666637,-1.20809435844,0.339007139206,-0.00330319907516,-0.0496072471142,-0.153486579657,0.986899316311
1649348875090400049,200224,1649348875058793307,world,0.534390449524,-1.2080514431,0.338585019112,-0.0135676031932,-0.0274077560753,-0.142740994692,0.989287555218
1649348875094289453,200225,1649348875063803557,world,0.534390449524,-1.20805156231,0.338585019112,-0.0135676031932,-0.0274077560753,-0.142740994692,0.989287555218
1649348875100310798,200226,1649348875069548326,world,0.534390449524,-1.20805156231,0.338585019112,-0.0135676031932,-0.0274077560753,-0.142740994692,0.989287555218
1649348875105762202,200227,1649348875075224911,world,0.534390449524,-1.20805156231,0.338585019112,-0.0135676031932,-0.0274077560753,-0.142740994692,0.989287555218
1649348875111452196,200228,1649348875081029023,world,0.534390449524,-1.20805156231,0.338585019112,-0.0135676031932,-0.0274077560753,-0.142740994692,0.989287555218
